id,record_id,table_id,title,description
349,10081554,0,"2005-11-9|Amman|Jordan|Bombing-Explosion|21",""
350,10081555,0,"Parent: 357 Child: 87",""
351,10081556,0,"2005-11-10|Baghdad|Iraq|Bombing-Explosion|35",""
352,10081557,0,"Parent: 359 Child: 87",""
353,10081558,0,"2005-12-6|Baghdad|Iraq|Bombing-Explosion|36",""
354,10081559,0,"Parent: 361 Child: 87",""
355,10081560,0,"2005-12-29|Baghdad|Iraq|Hostage Taking Barricade",""
356,10081561,0,"Parent: 363 Child: 87",""
357,10081562,0,"2006-1-9|Baghdad|Iraq|Bombing-Explosion|2",""
358,10081563,0,"Parent: 365 Child: 87",""
359,10081564,0,"2006-2-6|Mazari Sharif|Afghanistan|Armed Assault",""
360,10081565,0,"Parent: 367 Child: 8",""
361,10081566,0,"2006-2-22|Samarra|Iraq|Bombing-Explosion|0",""
362,10081567,0,"Parent: 369 Child: 87",""
363,10081568,0,"2006-4-7|Baghdad|Iraq|Bombing-Explosion|90",""
364,10081569,0,"Parent: 371 Child: 87",""
365,10081570,0,"2006-6-3|Baghdad|Iraq|Hostage Taking Kidnapping|",""
366,10081571,0,"Parent: 373 Child: 87",""
367,10081572,0,"2006-6-11|Baghdad|Iraq|Bombing-Explosion|6",""
368,10081573,0,"Parent: 375 Child: 87",""
369,10081574,0,"2006-9-18|Baidoa|Somalia|Assassination|11",""
370,10081575,0,"Parent: 377 Child: 8",""
371,10081576,0,"2006-11-10|Malik Shahi|Pakistan|Bombing-Explosio",""
372,10081577,0,"Parent: 379 Child: 8",""
373,10081578,0,"2007-1-23|Gaza City|West Bank and Gaza Strip|Bom",""
374,10081579,0,"Parent: 381 Child: 8",""
375,10081580,0,"2007-1-27|Ramadi|Iraq|Armed Assault|1",""
376,10081581,0,"Parent: 383 Child: 87",""
377,10081582,0,"2007-3-16|Ramadi|Iraq|Bombing-Explosion|1",""
378,10081583,0,"Parent: 385 Child: 87",""
379,10081584,0,"2007-3-16|Amiriya|Iraq|Bombing-Explosion|3",""
